年月日,平均気温(℃),最高気温(℃),2/1以降の最高気温(℃)累積,開花以降の平均気温累積(℃),桜(初見〜満開),雨天確率
date,temp,max_temp,cum_max_temp,cum_temp_bloom,bloomed,rain
2017/2/1,6,10.6,10.6,0,0,0
2017/2/2,4.5,9.7,20.3,0,0,0
2017/2/3,7.4,13.7,34,0,0,0
2017/2/4,8.2,13.4,47.4,0,0,0
2017/2/5,7.2,9.9,57.3,0,0,0
2017/2/6,8.7,15.7,73,0,0,0
2017/2/7,5.6,10,83,0,0,0
2017/2/8,6.3,11,94,0,0,0
2017/2/9,2.4,5.4,99.4,0,0,0
2017/2/10,4.3,9.3,108.7,0,0,0
2017/2/11,4.1,10.1,118.8,0,0,0
2017/2/12,5,11.2,130,0,0,0
2017/2/13,6.3,11.8,141.8,0,0,0
2017/2/14,6.1,11.8,153.6,0,0,0
2017/2/15,6.5,12.8,166.4,0,0,0
2017/2/16,7.3,13.7,180.1,0,0,0
2017/2/17,13.2,20.6,200.7,0,0,0
2017/2/18,8.1,10.7,211.4,0,0,0
2017/2/19,6.2,11.5,222.9,0,0,0
2017/2/20,9.9,19.7,242.6,0,0,0
2017/2/21,6.1,9.9,252.5,0,0,0
2017/2/22,7,10.6,263.1,0,0,0
2017/2/23,12.4,16.3,279.4,0,0,0
2017/2/24,7.4,11.3,290.7,0,0,0
2017/2/25,7.5,12.7,303.4,0,0,0
2017/2/26,8.6,14.2,317.6,0,0,0
2017/2/27,6.2,9.7,327.3,0,0,0
2017/2/28,5.5,10.1,337.4,0,0,0
2017/3/1,6.4,11.1,348.5,0,0,0
2017/3/2,6.8,8.7,357.2,0,0,0
2017/3/3,8.7,16,373.2,0,0,0
2017/3/4,8.7,14.6,387.8,0,0,0
2017/3/5,10.4,15.9,403.7,0,0,0
2017/3/6,9.3,11.5,415.2,0,0,0
2017/3/7,6.6,10.9,426.1,0,0,0
2017/3/8,5.5,11.8,437.9,0,0,0
2017/3/9,7.5,13,450.9,0,0,0
2017/3/10,8.6,14.8,465.7,0,0,0
2017/3/11,7.9,13.2,478.9,0,0,0
2017/3/12,7.6,12.2,491.1,0,0,0
2017/3/13,8.8,12.8,503.9,0,0,0
2017/3/14,8.1,11,514.9,0,0,0
2017/3/15,5.4,7.5,522.4,0,0,0
2017/3/16,8.2,15.5,537.9,0,0,0
2017/3/17,9.5,15.2,553.1,0,0,0
2017/3/18,10.3,16.2,569.3,0,0,0
2017/3/19,12.2,18.6,587.9,0,0,0
2017/3/20,12.6,18.7,606.6,0,0,0
2017/3/21,9.1,12.9,619.5,9.1,1,0
2017/3/22,9.8,15,634.5,18.9,1,0
2017/3/23,9.7,15.7,650.2,28.6,1,0
2017/3/24,8.5,13.9,664.1,37.1,1,0
2017/3/25,7.8,12.7,676.8,44.9,1,0
2017/3/26,5.9,8.1,684.9,50.8,1,0
2017/3/27,5,8.3,693.2,55.8,1,0
2017/3/28,8.6,14.9,708.1,64.4,1,0
2017/3/29,9.1,14.7,722.8,73.5,1,0
2017/3/30,11.9,17.8,740.6,85.4,1,0
2017/3/31,8.8,12.3,752.9,94.2,1,0
2017/4/1,6.3,8.9,761.8,100.5,1,0
2017/4/2,8.7,14.2,776,109.2,1,0
2017/4/3,9.9,16.1,792.1,119.1,0,0
2017/4/4,11.2,17.3,809.4,130.3,0,0
2017/4/5,14.7,20.7,830.1,145,0,0
2017/4/6,16.7,21.2,851.3,161.7,0,0
2017/4/7,17.5,21.6,872.9,179.2,0,0
2017/4/8,15.3,17.7,890.6,194.5,0,0
2017/4/9,13.8,15.2,905.8,208.3,0,0
2017/4/10,10.4,15.7,921.5,218.7,0,0
2017/4/11,8.5,10.7,932.2,227.2,0,0
2017/4/12,14.3,21.6,953.8,241.5,0,0
2017/4/13,12.3,17.6,971.4,253.8,0,0
2017/4/14,15,21.5,992.9,268.8,0,0
2017/4/15,18.6,24.2,1017.1,287.4,0,0
2017/4/16,18.9,26.1,1043.2,306.3,0,0
2017/4/17,18.3,26.1,1069.3,324.6,0,0
2017/4/18,20,25.7,1095,344.6,0,0
2017/4/19,18,26.1,1121.1,362.6,0,0
2017/4/20,15.7,21.1,1142.2,378.3,0,0
2017/4/21,15.6,19.2,1161.4,393.9,0,0
2017/4/22,14.3,18.4,1179.8,408.2,0,0
2017/4/23,13.6,20.3,1200.1,421.8,0,0
2017/4/24,14.5,19.6,1219.7,436.3,0,0
2017/4/25,16,21,1240.7,452.3,0,0
2017/4/26,16.9,19.4,1260.1,469.2,0,0
2017/4/27,14.7,19.4,1279.5,483.9,0,0
2017/4/28,15.9,21.6,1301.1,499.8,0,0
2017/4/29,16.2,23.4,1324.5,516,0,0
2017/4/30,17.8,24.3,1348.8,533.8,0,0
